{port=15001, GCS_IP=192.168.1.64, system_id=1, flight_status=1, auto_time=0, lat=35.0665953, lon=129.0917174, alt=29.861, dist_traveled=0.0, wp_dist=14, heading=136, target_heading=137, previous_heading=13623, dist_to_home=1.3462532143412583E7, vertical_speed=0.027452376, ground_speed=25.398903, wind_vel=0.0, airspeed=24.92272, gps_hdop=1.21, roll=2.35, pitch=-2.29, yaw=136.52, ch3percent=66.10, ch9out=0, tot=0.55, toh=530043.84, time_in_air=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, home_location={lon=129.0921078, lat=35.0766972}, waypoints=[{seq=0, lat=35.0766972, lon=129.0921078, alt=43.85}, {seq=1, lat=0.0, lon=0.0, alt=30.0}, {seq=2, lat=35.074127, lon=129.092103, alt=30.0}, {seq=3, lat=35.068399, lon=129.089666, alt=30.0}, {seq=4, lat=35.066504, lon=129.091809, alt=30.0}, {seq=5, lat=35.06537, lon=129.093095, alt=30.0}, {seq=6, lat=35.064163, lon=129.094466, alt=30.0}, {seq=7, lat=35.062586, lon=129.092356, alt=30.0}, {seq=8, lat=35.061974, lon=129.091509, alt=30.0}, {seq=9, lat=35.06322, lon=129.090181, alt=30.0}, {seq=10, lat=35.064955, lon=129.088335, alt=30.0}, {seq=11, lat=35.066579, lon=129.086606, alt=30.0}, {seq=12, lat=35.067136, lon=129.086013, alt=30.0}, {seq=13, lat=35.074309, lon=129.091761, alt=30.0}, {seq=14, lat=0.0, lon=0.0, alt=0.0}], ch3out=1661, timestamp=2025-05-22 16:14:12}
{port=15001, GCS_IP=192.168.1.64, system_id=1, flight_status=1, auto_time=1, lat=35.0664296, lon=129.0919104, alt=29.905, dist_traveled=25.45630798775339, wp_dist=161, heading=137, target_heading=137, previous_heading=13700, dist_to_home=1141.8463547405217, vertical_speed=0.050353315, ground_speed=25.428205, wind_vel=0.19547503, airspeed=24.962715, gps_hdop=1.21, roll=1.47, pitch=-2.28, yaw=137.18, ch3percent=66.10, ch9out=0, tot=6.33, toh=44.9, time_in_air=1, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, home_location={lon=129.0921078, lat=35.0766972}, waypoints=[{seq=0, lat=35.0766972, lon=129.0921078, alt=43.85}, {seq=1, lat=0.0, lon=0.0, alt=30.0}, {seq=2, lat=35.074127, lon=129.092103, alt=30.0}, {seq=3, lat=35.068399, lon=129.089666, alt=30.0}, {seq=4, lat=35.066504, lon=129.091809, alt=30.0}, {seq=5, lat=35.06537, lon=129.093095, alt=30.0}, {seq=6, lat=35.064163, lon=129.094466, alt=30.0}, {seq=7, lat=35.062586, lon=129.092356, alt=30.0}, {seq=8, lat=35.061974, lon=129.091509, alt=30.0}, {seq=9, lat=35.06322, lon=129.090181, alt=30.0}, {seq=10, lat=35.064955, lon=129.088335, alt=30.0}, {seq=11, lat=35.066579, lon=129.086606, alt=30.0}, {seq=12, lat=35.067136, lon=129.086013, alt=30.0}, {seq=13, lat=35.074309, lon=129.091761, alt=30.0}, {seq=14, lat=0.0, lon=0.0, alt=0.0}], ch3out=1661, timestamp=2025-05-22 16:14:13}
{port=15001, GCS_IP=192.168.1.64, system_id=1, flight_status=1, auto_time=1, lat=35.0662619, lon=129.0921019, alt=29.95, dist_traveled=50.980568319244306, wp_dist=135, heading=137, target_heading=137, previous_heading=13747, dist_to_home=1160.3525422427772, vertical_speed=0.009498436, ground_speed=25.477533, wind_vel=0.20152657, airspeed=24.95131, gps_hdop=1.21, roll=0.97, pitch=-2.34, yaw=137.61, ch3percent=66.00, ch9out=0, tot=5.3, toh=45.54, time_in_air=2, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, home_location={lon=129.0921078, lat=35.0766972}, waypoints=[{seq=0, lat=35.0766972, lon=129.0921078, alt=43.85}, {seq=1, lat=0.0, lon=0.0, alt=30.0}, {seq=2, lat=35.074127, lon=129.092103, alt=30.0}, {seq=3, lat=35.068399, lon=129.089666, alt=30.0}, {seq=4, lat=35.066504, lon=129.091809, alt=30.0}, {seq=5, lat=35.06537, lon=129.093095, alt=30.0}, {seq=6, lat=35.064163, lon=129.094466, alt=30.0}, {seq=7, lat=35.062586, lon=129.092356, alt=30.0}, {seq=8, lat=35.061974, lon=129.091509, alt=30.0}, {seq=9, lat=35.06322, lon=129.090181, alt=30.0}, {seq=10, lat=35.064955, lon=129.088335, alt=30.0}, {seq=11, lat=35.066579, lon=129.086606, alt=30.0}, {seq=12, lat=35.067136, lon=129.086013, alt=30.0}, {seq=13, lat=35.074309, lon=129.091761, alt=30.0}, {seq=14, lat=0.0, lon=0.0, alt=0.0}], ch3out=1660, timestamp=2025-05-22 16:14:14}
{port=15001, GCS_IP=192.168.1.64, system_id=1, flight_status=1, auto_time=2, lat=35.0660931, lon=129.0922922, alt=29.964, dist_traveled=76.52014216381642, wp_dist=110, heading=137, target_heading=137, previous_heading=13781, dist_to_home=1179.241534512608, vertical_speed=0.08616981, ground_speed=25.504913, wind_vel=0.20777936, airspeed=24.971773, gps_hdop=1.21, roll=0.62, pitch=-2.27, yaw=137.85, ch3percent=65.80, ch9out=0, tot=4.31, toh=46.24, time_in_air=3, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, home_location={lon=129.0921078, lat=35.0766972}, waypoints=[{seq=0, lat=35.0766972, lon=129.0921078, alt=43.85}, {seq=1, lat=0.0, lon=0.0, alt=30.0}, {seq=2, lat=35.074127, lon=129.092103, alt=30.0}, {seq=3, lat=35.068399, lon=129.089666, alt=30.0}, {seq=4, lat=35.066504, lon=129.091809, alt=30.0}, {seq=5, lat=35.06537, lon=129.093095, alt=30.0}, {seq=6, lat=35.064163, lon=129.094466, alt=30.0}, {seq=7, lat=35.062586, lon=129.092356, alt=30.0}, {seq=8, lat=35.061974, lon=129.091509, alt=30.0}, {seq=9, lat=35.06322, lon=129.090181, alt=30.0}, {seq=10, lat=35.064955, lon=129.088335, alt=30.0}, {seq=11, lat=35.066579, lon=129.086606, alt=30.0}, {seq=12, lat=35.067136, lon=129.086013, alt=30.0}, {seq=13, lat=35.074309, lon=129.091761, alt=30.0}, {seq=14, lat=0.0, lon=0.0, alt=0.0}], ch3out=1658, timestamp=2025-05-22 16:14:15}
{port=15001, GCS_IP=192.168.1.64, system_id=1, flight_status=1, auto_time=4, lat=35.065924, lon=129.0924817, alt=30.013, dist_traveled=102.03497409538898, wp_dist=84, heading=137, target_heading=137, previous_heading=13795, dist_to_home=1198.4083589788593, vertical_speed=0.015176137, ground_speed=25.50233, wind_vel=0.2136632, airspeed=24.967363, gps_hdop=1.21, roll=-0.04, pitch=-2.42, yaw=137.92, ch3percent=65.80, ch9out=0, tot=3.29, toh=46.99, time_in_air=4, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, home_location={lon=129.0921078, lat=35.0766972}, waypoints=[{seq=0, lat=35.0766972, lon=129.0921078, alt=43.85}, {seq=1, lat=0.0, lon=0.0, alt=30.0}, {seq=2, lat=35.074127, lon=129.092103, alt=30.0}, {seq=3, lat=35.068399, lon=129.089666, alt=30.0}, {seq=4, lat=35.066504, lon=129.091809, alt=30.0}, {seq=5, lat=35.06537, lon=129.093095, alt=30.0}, {seq=6, lat=35.064163, lon=129.094466, alt=30.0}, {seq=7, lat=35.062586, lon=129.092356, alt=30.0}, {seq=8, lat=35.061974, lon=129.091509, alt=30.0}, {seq=9, lat=35.06322, lon=129.090181, alt=30.0}, {seq=10, lat=35.064955, lon=129.088335, alt=30.0}, {seq=11, lat=35.066579, lon=129.086606, alt=30.0}, {seq=12, lat=35.067136, lon=129.086013, alt=30.0}, {seq=13, lat=35.074309, lon=129.091761, alt=30.0}, {seq=14, lat=0.0, lon=0.0, alt=0.0}], ch3out=1658, timestamp=2025-05-22 16:14:16}
{port=15001, GCS_IP=192.168.1.64, system_id=1, flight_status=1, auto_time=5, lat=35.0657553, lon=129.0926708, alt=30.032, dist_traveled=127.49244061496864, wp_dist=59, heading=137, target_heading=137, previous_heading=13794, dist_to_home=1217.762114967947, vertical_speed=0.015187085, ground_speed=25.490479, wind_vel=0.21995306, airspeed=24.956137, gps_hdop=1.21, roll=0.07, pitch=-2.42, yaw=137.91, ch3percent=65.90, ch9out=0, tot=2.31, toh=47.77, time_in_air=5, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, home_location={lon=129.0921078, lat=35.0766972}, waypoints=[{seq=0, lat=35.0766972, lon=129.0921078, alt=43.85}, {seq=1, lat=0.0, lon=0.0, alt=30.0}, {seq=2, lat=35.074127, lon=129.092103, alt=30.0}, {seq=3, lat=35.068399, lon=129.089666, alt=30.0}, {seq=4, lat=35.066504, lon=129.091809, alt=30.0}, {seq=5, lat=35.06537, lon=129.093095, alt=30.0}, {seq=6, lat=35.064163, lon=129.094466, alt=30.0}, {seq=7, lat=35.062586, lon=129.092356, alt=30.0}, {seq=8, lat=35.061974, lon=129.091509, alt=30.0}, {seq=9, lat=35.06322, lon=129.090181, alt=30.0}, {seq=10, lat=35.064955, lon=129.088335, alt=30.0}, {seq=11, lat=35.066579, lon=129.086606, alt=30.0}, {seq=12, lat=35.067136, lon=129.086013, alt=30.0}, {seq=13, lat=35.074309, lon=129.091761, alt=30.0}, {seq=14, lat=0.0, lon=0.0, alt=0.0}], ch3out=1659, timestamp=2025-05-22 16:14:17}
{port=15001, GCS_IP=192.168.1.64, system_id=1, flight_status=1, auto_time=5, lat=35.065671, lon=129.0927653, alt=30.043, dist_traveled=140.2140097110941, wp_dist=46, heading=137, target_heading=137, previous_heading=13790, dist_to_home=1227.5167668637137, vertical_speed=-0.0061641484, ground_speed=25.487825, wind_vel=0.22323029, airspeed=24.979889, gps_hdop=1.21, roll=0.06, pitch=-2.52, yaw=137.90, ch3percent=65.80, ch9out=0, tot=1.8, toh=48.16, time_in_air=5, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, home_location={lon=129.0921078, lat=35.0766972}, waypoints=[{seq=0, lat=35.0766972, lon=129.0921078, alt=43.85}, {seq=1, lat=0.0, lon=0.0, alt=30.0}, {seq=2, lat=35.074127, lon=129.092103, alt=30.0}, {seq=3, lat=35.068399, lon=129.089666, alt=30.0}, {seq=4, lat=35.066504, lon=129.091809, alt=30.0}, {seq=5, lat=35.06537, lon=129.093095, alt=30.0}, {seq=6, lat=35.064163, lon=129.094466, alt=30.0}, {seq=7, lat=35.062586, lon=129.092356, alt=30.0}, {seq=8, lat=35.061974, lon=129.091509, alt=30.0}, {seq=9, lat=35.06322, lon=129.090181, alt=30.0}, {seq=10, lat=35.064955, lon=129.088335, alt=30.0}, {seq=11, lat=35.066579, lon=129.086606, alt=30.0}, {seq=12, lat=35.067136, lon=129.086013, alt=30.0}, {seq=13, lat=35.074309, lon=129.091761, alt=30.0}, {seq=14, lat=0.0, lon=0.0, alt=0.0}], ch3out=1658, timestamp=2025-05-22 16:14:18}
{port=15001, GCS_IP=192.168.1.64, system_id=1, flight_status=1, auto_time=7, lat=35.0655867, lon=129.0928598, alt=30.017, dist_traveled=152.93558481457254, wp_dist=33, heading=137, target_heading=137, previous_heading=13787, dist_to_home=1237.3253073252818, vertical_speed=-0.0023503958, ground_speed=25.498085, wind_vel=0.22634324, airspeed=24.997318, gps_hdop=1.21, roll=-0.06, pitch=-2.38, yaw=137.95, ch3percent=65.80, ch9out=0, tot=1.29, toh=48.53, time_in_air=7, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, home_location={lon=129.0921078, lat=35.0766972}, waypoints=[{seq=0, lat=35.0766972, lon=129.0921078, alt=43.85}, {seq=1, lat=0.0, lon=0.0, alt=30.0}, {seq=2, lat=35.074127, lon=129.092103, alt=30.0}, {seq=3, lat=35.068399, lon=129.089666, alt=30.0}, {seq=4, lat=35.066504, lon=129.091809, alt=30.0}, {seq=5, lat=35.06537, lon=129.093095, alt=30.0}, {seq=6, lat=35.064163, lon=129.094466, alt=30.0}, {seq=7, lat=35.062586, lon=129.092356, alt=30.0}, {seq=8, lat=35.061974, lon=129.091509, alt=30.0}, {seq=9, lat=35.06322, lon=129.090181, alt=30.0}, {seq=10, lat=35.064955, lon=129.088335, alt=30.0}, {seq=11, lat=35.066579, lon=129.086606, alt=30.0}, {seq=12, lat=35.067136, lon=129.086013, alt=30.0}, {seq=13, lat=35.074309, lon=129.091761, alt=30.0}, {seq=14, lat=0.0, lon=0.0, alt=0.0}], ch3out=1658, timestamp=2025-05-22 16:14:19}
{port=15001, GCS_IP=192.168.1.64, system_id=1, flight_status=1, auto_time=7, lat=35.0654184, lon=129.0930486, alt=30.024, dist_traveled=178.34187375860785, wp_dist=8, heading=137, target_heading=137, previous_heading=13793, dist_to_home=1257.0644813359775, vertical_speed=5.790279E-4, ground_speed=25.46731, wind_vel=0.23392692, airspeed=24.944674, gps_hdop=1.21, roll=-0.20, pitch=-2.39, yaw=137.94, ch3percent=66.10, ch9out=0, tot=0.31, toh=49.36, time_in_air=7, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, home_location={lon=129.0921078, lat=35.0766972}, waypoints=[{seq=0, lat=35.0766972, lon=129.0921078, alt=43.85}, {seq=1, lat=0.0, lon=0.0, alt=30.0}, {seq=2, lat=35.074127, lon=129.092103, alt=30.0}, {seq=3, lat=35.068399, lon=129.089666, alt=30.0}, {seq=4, lat=35.066504, lon=129.091809, alt=30.0}, {seq=5, lat=35.06537, lon=129.093095, alt=30.0}, {seq=6, lat=35.064163, lon=129.094466, alt=30.0}, {seq=7, lat=35.062586, lon=129.092356, alt=30.0}, {seq=8, lat=35.061974, lon=129.091509, alt=30.0}, {seq=9, lat=35.06322, lon=129.090181, alt=30.0}, {seq=10, lat=35.064955, lon=129.088335, alt=30.0}, {seq=11, lat=35.066579, lon=129.086606, alt=30.0}, {seq=12, lat=35.067136, lon=129.086013, alt=30.0}, {seq=13, lat=35.074309, lon=129.091761, alt=30.0}, {seq=14, lat=0.0, lon=0.0, alt=0.0}], ch3out=1661, timestamp=2025-05-22 16:14:20}
{port=15001, GCS_IP=192.168.1.64, system_id=1, flight_status=1, auto_time=8, lat=35.0653347, lon=129.0931425, alt=30.025, dist_traveled=190.97738964840335, wp_dist=179, heading=137, target_heading=137, previous_heading=13786, dist_to_home=1266.9565012962496, vertical_speed=0.0013694948, ground_speed=25.448494, wind_vel=0.23811427, airspeed=24.977358, gps_hdop=1.21, roll=-0.18, pitch=-2.32, yaw=137.86, ch3percent=66.00, ch9out=0, tot=7.03, toh=49.79, time_in_air=8, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, home_location={lon=129.0921078, lat=35.0766972}, waypoints=[{seq=0, lat=35.0766972, lon=129.0921078, alt=43.85}, {seq=1, lat=0.0, lon=0.0, alt=30.0}, {seq=2, lat=35.074127, lon=129.092103, alt=30.0}, {seq=3, lat=35.068399, lon=129.089666, alt=30.0}, {seq=4, lat=35.066504, lon=129.091809, alt=30.0}, {seq=5, lat=35.06537, lon=129.093095, alt=30.0}, {seq=6, lat=35.064163, lon=129.094466, alt=30.0}, {seq=7, lat=35.062586, lon=129.092356, alt=30.0}, {seq=8, lat=35.061974, lon=129.091509, alt=30.0}, {seq=9, lat=35.06322, lon=129.090181, alt=30.0}, {seq=10, lat=35.064955, lon=129.088335, alt=30.0}, {seq=11, lat=35.066579, lon=129.086606, alt=30.0}, {seq=12, lat=35.067136, lon=129.086013, alt=30.0}, {seq=13, lat=35.074309, lon=129.091761, alt=30.0}, {seq=14, lat=0.0, lon=0.0, alt=0.0}], ch3out=1660, timestamp=2025-05-22 16:14:21}
{port=15001, GCS_IP=192.168.1.64, system_id=1, flight_status=1, auto_time=10, lat=35.0651671, lon=129.0933312, alt=30.0, dist_traveled=216.32027109211742, wp_dist=153, heading=137, target_heading=137, previous_heading=13774, dist_to_home=1286.913847670167, vertical_speed=0.0072352807, ground_speed=25.424551, wind_vel=0.24693558, airspeed=24.990746, gps_hdop=1.21, roll=-0.10, pitch=-2.30, yaw=137.72, ch3percent=65.80, ch9out=0, tot=6.02, toh=50.62, time_in_air=10, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, waypoints_count=0, home_location={lon=129.0921078, lat=35.0766972}, waypoints=[{seq=0, lat=35.0766972, lon=129.0921078, alt=43.85}, {seq=1, lat=0.0, lon=0.0, alt=30.0}, {seq=2, lat=35.074127, lon=129.092103, alt=30.0}, {seq=3, lat=35.068399, lon=129.089666, alt=30.0}, {seq=4, lat=35.066504, lon=129.091809, alt=30.0}, {seq=5, lat=35.06537, lon=129.093095, alt=30.0}, {seq=6, lat=35.064163, lon=129.094466, alt=30.0}, {seq=7, lat=35.062586, lon=129.092356, alt=30.0}, {seq=8, lat=35.061974, lon=129.091509, alt=30.0}, {seq=9, lat=35.06322, lon=129.090181, alt=30.0}, {seq=10, lat=35.064955, lon=129.088335, alt=30.0}, {seq=11, lat=35.066579, lon=129.086606, alt=30.0}, {seq=12, lat=35.067136, lon=129.086013, alt=30.0}, {seq=13, lat=35.074309, lon=129.091761, alt=30.0}, {seq=14, lat=0.0, lon=0.0, alt=0.0}], ch3out=1658, timestamp=2025-05-22 16:14:22}
